$ ab -n 1 -c 1 -t 60 http://test-wordpress.com/,,,,
Number of requests,Concurrent requests,Time (s) for 90% requests,Failed Requests,
1,1,0.8,0,
5,5,3.9,0,
10,5,3.7,0,
10,10,5.9,0,
15,15,37,0,
20,20,51,0,
30,30,166,1,
,,,,
"$ kubectl set resources deploy wordpress --requests=cpu=50m,memory=100Mi â€“limits=cpu=200m,memory=300Mi",,,,
$ kubectl autoscale --min 1 --max 5 deploy wordpress --cpu-percent 50,,,,
,,,,
,,,,
50,50,6.5,0,
75,75,24,0,
100,100,13,0,
150,150,24,0,
300,300,49,1,when starting with 1 pod
300,300,14,39,
300,300,7,116,
300,300,9,0,
300,300,10,6,
300,300,9,0,
300,300,7,122,
300,300,9,0,
500,100,25,0,5 pods
